draft_year,rnd,pick,tm,player,pos,g,search_key,id,year_signed,signing_tm,value,value_norm,gtd,gtd_norm
2001,1.0,29.0,STL,Ryan Pickett,DT,207.0,"Ryan Pickett, DT",247,2014.0,Texans,955000.0,0.007180451127819549,0.0,0.0
2001,1.0,30.0,IND,Reggie Wayne,WR,211.0,"Reggie Wayne, WR",248,2006.0,Colts,39000000.0,0.38235294117647056,12500000.0,0.12254901960784313
2001,1.0,30.0,IND,Reggie Wayne,WR,211.0,"Reggie Wayne, WR",248,2012.0,Colts,17500000.0,0.1451077943615257,7500000.0,0.06218905472636816
2001,1.0,30.0,IND,Reggie Wayne,WR,211.0,"Reggie Wayne, WR",248,2001.0,Colts,6140000.0,0.09109116534381723,2400000.0,0.035605667235368295
2001,1.0,30.0,IND,Reggie Wayne,WR,211.0,"Reggie Wayne, WR",248,2015.0,Patriots,2300000.0,0.01605248464544947,450000.0,0.00314070351758794
2001,2.0,32.0,SDG,Drew Brees,QB,287.0,"Drew Brees, QB",250,2012.0,Saints,100000000.0,0.8291873963515755,60500000.0,0.5016583747927031
2001,2.0,32.0,SDG,Drew Brees,QB,287.0,"Drew Brees, QB",250,2016.0,Saints,24250000.0,0.15617955818896118,24250000.0,0.15617955818896118
2001,2.0,32.0,SDG,Drew Brees,QB,287.0,"Drew Brees, QB",250,2018.0,Saints,50000000.0,0.28216704288939054,27000000.0,0.1523702031602709
2001,2.0,32.0,SDG,Drew Brees,QB,287.0,"Drew Brees, QB",250,2020.0,Saints,50000000.0,0.2522704339051463,25000000.0,0.12613521695257315
2001,2.0,32.0,SDG,Drew Brees,QB,287.0,"Drew Brees, QB",250,2006.0,Saints,60000000.0,0.5882352941176471,8000000.0,0.0784313725490196
2001,2.0,32.0,SDG,Drew Brees,QB,287.0,"Drew Brees, QB",250,2005.0,Chargers,8078000.0,0.09447953216374269,8078000.0,0.09447953216374269
2001,2.0,32.0,SDG,Drew Brees,QB,287.0,"Drew Brees, QB",250,2001.0,Chargers,3605000.0,0.05348267932645946,1845000.0,0.02737185668718938
2001,2.0,36.0,CIN,Chad Johnson,WR,166.0,"Chad Johnson, WR",254,2003.0,Bengals,26000000.0,0.34663431413068113,7000000.0,0.09332462303518338
2001,2.0,36.0,CIN,Chad Johnson,WR,166.0,"Chad Johnson, WR",254,2006.0,Bengals,35500000.0,0.3480392156862745,5000000.0,0.049019607843137254
2001,2.0,36.0,CIN,Chad Johnson,WR,166.0,"Chad Johnson, WR",254,2011.0,Patriots,11950000.0,0.09927310488058151,4750000.0,0.03946002076843198
2001,2.0,36.0,CIN,Chad Johnson,WR,166.0,"Chad Johnson, WR",254,2001.0,Bengals,3091500.0,0.045864550107558785,1436000.0,0.021304057562495364
2001,2.0,36.0,CIN,Chad Johnson,WR,166.0,"Chad Johnson, WR",254,2012.0,Dolphins,925000.0,0.007669983416252073,0.0,0.0
2001,2.0,58.0,BUF,Travis Henry,RB,90.0,"Travis Henry, RB",275,2007.0,Broncos,22500000.0,0.20642201834862386,12000000.0,0.11009174311926606
